"","Year","GEO","DGUID","LFS","Sex","Age","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","GeoUID","Classification Code for Labour force characteristics","Hierarchy for Labour force characteristics","Classification Code for Sex","Hierarchy for Sex","Classification Code for Age group","Hierarchy for Age group","pct"
"1","2019","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","units","0","v1063541482","1.3.1.9",856.6,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"9",4.49526648334348
"2","2019","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","units","0","v1063541483","1.3.1.10",1660.1,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"10",8.71187472449044
"3","2019","Canada","2016A000011124","Employment","Both sexes","25 to 29 years","Persons","249","units","0","v1063541484","1.3.1.11",2110.9,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"11",11.0775834925166
"4","2019","Canada","2016A000011124","Employment","Both sexes","30 to 34 years","Persons","249","units","0","v1063541485","1.3.1.12",2112.7,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"12",11.087029534625
"5","2019","Canada","2016A000011124","Employment","Both sexes","35 to 39 years","Persons","249","units","0","v1063541486","1.3.1.13",2115.1,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"13",11.0996242574361
"6","2019","Canada","2016A000011124","Employment","Both sexes","40 to 44 years","Persons","249","units","0","v1063541487","1.3.1.14",2054.7,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"14",10.7826570666891
"7","2019","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","units","0","v1063541488","1.3.1.15",1973.5,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"15",10.3565356115787
"8","2019","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","units","0","v1063541489","1.3.1.16",2015.2,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"16",10.5753689204223
"9","2019","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","units","0","v1063541490","1.3.1.17",1933.4,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"17",10.1460987846093
"10","2019","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","units","0","v1063541491","1.3.1.18",1315.8,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"18",6.90505678120867
"11","2019","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","units","0","v1063541493","1.3.1.20",567,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"20",2.97550326413233
"12","2019","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","units","0","v1063541494","1.3.1.21",340.6,NA,NA,NA,"1","11124",NA,"1.2.3",NA,"1",NA,"21",1.78740107894792
