"","GEO","Sex","Age","Degree","VALUE","Year","LFS"
"1","Newfoundland and Labrador","Both sexes","15 years and over","Total, all education levels",226.6,"2019","Employment"
"2","Prince Edward Island","Both sexes","15 years and over","Total, all education levels",78,"2019","Employment"
"3","Nova Scotia","Both sexes","15 years and over","Total, all education levels",466.1,"2019","Employment"
"4","New Brunswick","Both sexes","15 years and over","Total, all education levels",356.7,"2019","Employment"
"5","Quebec","Both sexes","15 years and over","Total, all education levels",4339.9,"2019","Employment"
"6","Ontario","Both sexes","15 years and over","Total, all education levels",7452.6,"2019","Employment"
"7","Manitoba","Both sexes","15 years and over","Total, all education levels",653.4,"2019","Employment"
"8","Saskatchewan","Both sexes","15 years and over","Total, all education levels",580.4,"2019","Employment"
"9","Alberta","Both sexes","15 years and over","Total, all education levels",2343,"2019","Employment"
"10","British Columbia","Both sexes","15 years and over","Total, all education levels",2559,"2019","Employment"
